"code";"Weights";"Predictors";"Ensamble";"Probability";"upper";"lower";"Age_group";"Gender";"num_pats.";"prevalence"
"N02BE01";"2";"O_M_N02BE01";0,506888621535199;0,425651890942945;0,445096927548293;0,40643414488559;"[0, 18)";"M";321562;0,13
"N02BE01";"1";"S_M_N02BE01";0,350417374959969;0,415781155196503;0,434168509717878;0,39762529218075;"[0, 18)";"M";321562;0,13
"N05BA04";"1";"O_M_N05BA04";0,493790834516891;0,37595186324218;0,38459331799937;0,367388660047578;"[75,108)";"M";54612;0,02
"N05BA04";"1";"O_M_N05BA04";0,468184396681439;0,336245726678832;0,345351519512993;0,327260002428016;"[75,108)";"F";54612;0,02
"N06AB06";"1";"O_M_N06AB06";0,329333448866424;0,394790204018175;0,414390991837827;0,375522020723744;"[0, 18)";"F";89067;0,04
"N30_N39";"1";"O_H_diag_N30_N39";0,474700782436086;0,433897152838808;0,440266898335084;0,427549170695149;"[18, 65)";"F";440212;0,18
"N30_N39";"1";"O_H_diag_N30_N39";0,37131430319758;0,397394757734321;0,41728090774186;0,377841809623912;"[0, 18)";"F";440212;0,18
"N30_N39";"1";"O_H_diag_N30_N39";0,525253395501127;0,306407594770164;0,319053392305243;0,294046580707617;"[65, 75)";"F";440212;0,18
"N30_N39";"2";"O_H_diag_N30_N39";0,537462727479138;0,339115049786011;0,348371637640099;0,329979868059954;"[75,108)";"F";440212;0,18
"N30_N39";"1";"O_H_diag_N30_N39";0,35528775623697;0,416087421781187;0,434507764801182;0,397898513732066;"[0, 18)";"M";440212;0,18
"N30_N39";"1";"O_H_diag_N30_N39";0,47708991730581;0,375324509358639;0,383931918080227;0,366795180131671;"[75,108)";"M";440212;0,18
"N80_N98";"1";"O_H_diag_N80_N98";0,308034178727317;0,393471036915723;0,412927010410233;0,374347233581606;"[0, 18)";"F";490031;0,2
"R03AC02";"1";"O_M_R03AC02";0,343006283506665;0,415315244718748;0,433652395366687;0,397209662809278;"[0, 18)";"M";129972;0,05
"R03AC02";"1";"O_M_R03AC02";0,334100876173916;0,395085684682525;0,414718883795539;0,375785175327994;"[0, 18)";"F";129972;0,05
"R05FA02";"1";"O_M_R05FA02";0,445261048317169;0,402960461559684;0,409071039776947;0,396879857172828;"[18, 65)";"M";143983;0,06
"R060";"2";"O_H_diag_R060";0,52515077725003;0,406987756094664;0,427918062539712;0,38638974629766;"[0, 18)";"F";262291;0,11
"R060";"4";"O_H_diag_R060";1;0,358568095376634;0,368839249126828;0,348425069013052;"[75,108)";"F";262291;0,11
"R060";"4";"O_H_diag_R060";1;0,480778922188476;0,488807050987695;0,472760706320053;"[18, 65)";"M";262291;0,11
"R060";"4";"O_H_diag_R060";1;0,395156070408132;0,404832802839385;0,385560798523364;"[75,108)";"M";262291;0,11
"R060";"2";"O_H_diag_R060";0,534821007615539;0,427420450394735;0,447053720691106;0,40801318102191;"[0, 18)";"M";262291;0,11
"R060";"4";"O_H_diag_R060";1;0,507646383860882;0,515913337635082;0,499375246407146;"[18, 65)";"F";262291;0,11
"R060";"4";"O_H_diag_R060";1;0,345980106152019;0,361030859836659;0,331231537432966;"[65, 75)";"F";262291;0,11
"R060";"4";"O_H_diag_R060";1;0,400475717455982;0,412104496215578;0,388957978180743;"[65, 75)";"M";262291;0,11
"R06AX27";"1";"O_M_R06AX27";0,376182503935088;0,417402089125694;0,435963918220432;0,399071400014882;"[0, 18)";"M";186165;0,08
"R429";"1";"O_H_diag_R429";0,390066526946056;0,398560063694666;0,418573641016916;0,378879841879411;"[0, 18)";"F";249180;0,1
"R509";"6";"O_H_diag_R509";1;0,437018485245483;0,461132362094222;0,413198680876362;"[0, 18)";"F";220429;0,09
"R509";"3";"O_H_diag_R509";0,807019034465723;0,453403394573849;0,460792357627564;0,4460349051354;"[18, 65)";"M";220429;0,09
"R509";"2";"O_H_diag_R509";0,781212441756373;0,476784712743646;0,484295455052795;0,46928445523923;"[18, 65)";"F";220429;0,09
"R509";"3";"O_H_diag_R509";0,826559019098825;0,38853635826256;0,397857901958314;0,37929564118967;"[75,108)";"M";220429;0,09
"R509";"3";"O_H_diag_R509";0,805860593850865;0,350341934218924;0,360185886413808;0,340623789378263;"[75,108)";"F";220429;0,09
"R509";"3";"O_H_diag_R509";0,807027828981727;0,329597095781183;0,343666358795744;0,315826650964562;"[65, 75)";"F";220429;0,09
"R509";"5";"O_H_diag_R509";1;0,45711281090456;0,47983691571138;0,434565798682197;"[0, 18)";"M";220429;0,09
"R509";"3";"O_H_diag_R509";0,858265955905797;0,389010930768553;0,400126583987336;0,378009486373104;"[65, 75)";"M";220429;0,09
"S00_S09";"1";"O_H_diag_S00_S09";0,339432521154531;0,395416225841681;0,415085670758075;0,376079560767204;"[0, 18)";"F";478596;0,19
"S01";"1";"O_M_S01";0,316393555271961;0,393988589612739;0,413501400754768;0,374808129497377;"[0, 18)";"F";214059;0,09
"Z921";"1";"O_H_diag_Z921";0,352783994708867;0,415929968403438;0,434333353148082;0,397758048266902;"[0, 18)";"M";283174;0,12
"Z921";"1";"O_H_diag_Z921";0,510000952570589;0,361378256760902;0,371222873655762;0,351648705926365;"[65, 75)";"M";283174;0,12
"Z921";"2";"O_H_diag_Z921";0,553147600104455;0,339766328917487;0,349057109104586;0,330597246835843;"[75,108)";"F";283174;0,12
"Z921";"1";"O_H_diag_Z921";0,408035970347179;0,397866028394071;0,403841679077874;0,391920670094853;"[18, 65)";"M";283174;0,12
"Z921";"1";"O_H_diag_Z921";0,491675510174253;0,303705489457435;0,316183246913408;0,291510233017171;"[65, 75)";"F";283174;0,12
"Z921";"1";"O_H_diag_Z921";0,577412789607355;0,379099267761084;0,387911341642318;0,370366248337762;"[75,108)";"M";283174;0,12
