"code";"Weights";"Predictors";"Ensamble";"Probability";"upper";"lower";"Age_group";"Gender";"num_pats.";"prevalence";"Pred_Ens_Weights";"pathString"
"H02AB06";"2";"O_M_H02AB06";0,315230242500254;0,190722247077219;0,230274120858276;0,156581845248188;"[75,102)";"F";327081;0,06;"O_M_H02AB06, 0.32, 20.19,0.06";"AllWaves|[75,102)|F|O_M_H02AB06, 0.32, 20.19,0.06"
"H02AB06";"1";"O_M_H02AB06";0,346176099459353;0,338601121065755;0,383787939600131;0,29617741781275;"[65, 75)";"F";327081;0,06;"O_M_H02AB06, 0.35, 10.34,0.06";"AllWaves|[65, 75)|F|O_M_H02AB06, 0.35, 10.34,0.06"
"H02AB06";"1";"O_M_H02AB06";0,313976003095759;0,441740394654744;0,512055393983631;0,373686371553379;"[0, 18)";"F";327081;0,06;"O_M_H02AB06, 0.31, 10.44,0.06";"AllWaves|[0, 18)|F|O_M_H02AB06, 0.31, 10.44,0.06"
"H02AB06";"1";"O_M_H02AB06";0,310907652109442;0,330072962149262;0,361053572127126;0,30050045117717;"[75,102)";"M";327081;0,06;"O_M_H02AB06, 0.31, 10.33,0.06";"AllWaves|[75,102)|M|O_M_H02AB06, 0.31, 10.33,0.06"
"H02AB06";"1";"O_M_H02AB06";0,314671159172448;0,181353944421241;0,213030066413973;0,153469330660153;"[65, 75)";"M";327081;0,06;"O_M_H02AB06, 0.31, 10.18,0.06";"AllWaves|[65, 75)|M|O_M_H02AB06, 0.31, 10.18,0.06"
"H03AA01";"1";"O_M_H03AA01";0,305894613435735;0,440690340318297;0,510631525763705;0,373026654004398;"[0, 18)";"F";228517;0,04;"O_M_H03AA01, 0.31, 10.44,0.04";"AllWaves|[0, 18)|F|O_M_H03AA01, 0.31, 10.44,0.04"
"I10";"1";"O_H_diag_I10";0,325348971267112;0,391318819998473;0,40126427370368;0,381462818098663;"All";"Both";468050;0,08;"O_H_diag_I10, 0.33, 10.39,0.08";"AllWaves|All|Both|O_H_diag_I10, 0.33, 10.39,0.08"
"I10";"1";"S_H_diag_I10";0,301487439849708;0,19009622345676;0,229463168245317;0,156114751607525;"[75,102)";"F";468050;0,08;"S_H_diag_I10, 0.3, 10.19,0.08";"AllWaves|[75,102)|F|S_H_diag_I10, 0.3, 10.19,0.08"
"I10";"2";"O_H_diag_I10";0,315466166548361;0,190733007831357;0,230288060083249;0,156589873818274;"[75,102)";"F";468050;0,08;"O_H_diag_I10, 0.32, 20.19,0.08";"AllWaves|[75,102)|F|O_H_diag_I10, 0.32, 20.19,0.08"
"I10";"2";"O_H_diag_I10";0,360441564413837;0,184680524117463;0,217131974550385;0,156111957849776;"[65, 75)";"M";468050;0,08;"O_H_diag_I10, 0.36, 20.18,0.08";"AllWaves|[65, 75)|M|O_H_diag_I10, 0.36, 20.18,0.08"
"I10";"1";"S_H_diag_I10";0,296164960110953;0,439426823527187;0,50891702147712;0,372233008539485;"[0, 18)";"F";468050;0,08;"S_H_diag_I10, 0.3, 10.44,0.08";"AllWaves|[0, 18)|F|S_H_diag_I10, 0.3, 10.44,0.08"
"I10";"1";"S_H_diag_I10";0,30171143225634;0,381341297782797;0,399053649769758;0,363939006894286;"[18, 65)";"M";468050;0,08;"S_H_diag_I10, 0.3, 10.38,0.08";"AllWaves|[18, 65)|M|S_H_diag_I10, 0.3, 10.38,0.08"
"I10";"1";"S_H_diag_I10";0,333993962635844;0,18275259763272;0,214754833558229;0,154580469063034;"[65, 75)";"M";468050;0,08;"S_H_diag_I10, 0.33, 10.18,0.08";"AllWaves|[65, 75)|M|S_H_diag_I10, 0.33, 10.18,0.08"
"I10";"1";"O_H_diag_I10";0,314720845857174;0,383565233164;0,401460647785057;0,365979761729562;"[18, 65)";"M";468050;0,08;"O_H_diag_I10, 0.31, 10.38,0.08";"AllWaves|[18, 65)|M|O_H_diag_I10, 0.31, 10.38,0.08"
"I20";"1";"O_H_diag_I20";0,285393862330708;0,189365115901342;0,228516050232741;0,155569203573322;"[75,102)";"F";144290;0,03;"O_H_diag_I20, 0.29, 10.19,0.03";"AllWaves|[75,102)|F|O_H_diag_I20, 0.29, 10.19,0.03"
"I25";"1";"O_H_diag_I25";0,29222777990702;0,1896753071599;0,22891789452035;0,155800672861907;"[75,102)";"F";210071;0,04;"O_H_diag_I25, 0.29, 10.19,0.04";"AllWaves|[75,102)|F|O_H_diag_I25, 0.29, 10.19,0.04"
"I25";"1";"O_H_diag_I25";0,321485209377622;0,181846216148611;0,213637137794169;0,153860417505805;"[65, 75)";"M";210071;0,04;"O_H_diag_I25, 0.32, 10.18,0.04";"AllWaves|[65, 75)|M|O_H_diag_I25, 0.32, 10.18,0.04"
"I48";"1";"O_H_diag_I48";0,291166265893375;0,189627099561016;0,228855443372843;0,155764700268665;"[75,102)";"F";192578;0,03;"O_H_diag_I48, 0.29, 10.19,0.03";"AllWaves|[75,102)|F|O_H_diag_I48, 0.29, 10.19,0.03"
"I48";"1";"O_H_diag_I48";0,315785198231794;0,181434355650852;0,21312923130977;0,153533214323272;"[65, 75)";"M";192578;0,03;"O_H_diag_I48, 0.32, 10.18,0.03";"AllWaves|[65, 75)|M|O_H_diag_I48, 0.32, 10.18,0.03"
"J01CA08";"1";"O_M_J01CA08";0,295770162031154;0,439375570532637;0,508847447699115;0,372200819459853;"[0, 18)";"F";354592;0,06;"O_M_J01CA08, 0.3, 10.44,0.06";"AllWaves|[0, 18)|F|O_M_J01CA08, 0.3, 10.44,0.06"
"J01CE02";"1";"O_M_J01CE02";0,301896909364165;0,440171094653522;0,509927101016382;0,372700479196089;"[0, 18)";"F";747714;0,13;"O_M_J01CE02, 0.3, 10.44,0.13";"AllWaves|[0, 18)|F|O_M_J01CE02, 0.3, 10.44,0.13"
"J12";"3";"O_H_diag_J12";0,370903878260023;0,449151555717835;0,522078715640541;0,378346829713954;"[0, 18)";"F";15715;0;"O_H_diag_J12, 0.37, 30.45,0";"AllWaves|[0, 18)|F|O_H_diag_J12, 0.37, 30.45,0"
"J12";"3";"O_H_diag_J12";0,575263253731028;0,501770272143874;0,530496969968515;0,473031882459347;"[18, 65)";"F";15715;0;"O_H_diag_J12, 0.58, 30.5,0";"AllWaves|[18, 65)|F|O_H_diag_J12, 0.58, 30.5,0"
"J12";"4";"O_H_diag_J12";0,38300766182625;0,463078647911158;0,534247099929098;0,393383300101308;"[0, 18)";"M";15715;0;"O_H_diag_J12, 0.38, 40.46,0";"AllWaves|[0, 18)|M|O_H_diag_J12, 0.38, 40.46,0"
"J12";"3";"S_H_diag_J12";0,356915566601819;0,46036731601055;0,530481670039449;0,39178717637736;"[0, 18)";"M";15715;0;"S_H_diag_J12, 0.36, 30.46,0";"AllWaves|[0, 18)|M|S_H_diag_J12, 0.36, 30.46,0"
"J15";"2";"O_H_diag_J15";0,390546540148875;0,339376836294074;0,371778104271368;0,308413100372903;"[75,102)";"M";130446;0,02;"O_H_diag_J15, 0.39, 20.34,0.02";"AllWaves|[75,102)|M|O_H_diag_J15, 0.39, 20.34,0.02"
"J15";"2";"O_H_diag_J15";0,367153818963459;0,392577187461446;0,411208941645215;0,374253034468045;"[18, 65)";"M";130446;0,02;"O_H_diag_J15, 0.37, 20.39,0.02";"AllWaves|[18, 65)|M|O_H_diag_J15, 0.37, 20.39,0.02"
